City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
176,Bengkulu,ID,82.27,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
178,Portland,US,42.76,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
179,Dhidhdhoo,MV,82.22,few clouds,6.8833,73.1,Dhidhoo beach
180,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
181,Praia Da Vitoria,PT,57.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
183,Wexford,IE,45.21,light rain,52.3342,-6.4575,Talbot Hotel Wexford
184,Dargaville,NZ,67.05,overcast clouds,-35.9333,173.8833,Parkview Motel
185,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
186,Lagoa,PT,62.65,overcast clouds,39.05,-27.9833,Casa Das Faias
187,Port Macquarie,AU,70.9,moderate rain,-31.4333,152.9167,Rydges Port Macquarie
190,Bani Walid,LY,54.27,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
192,Acari,PE,68.67,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
193,Sechura,PE,65.89,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
195,Kaitangata,NZ,52.93,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
196,Samarai,PG,83.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
198,Dasoguz,TM,42.91,overcast clouds,41.8363,59.9666,Ташауз Отел
199,Tuatapere,NZ,51.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
202,Kimbe,PG,77.63,heavy intensity rain,-5.5502,150.1429,Kimbe Bay Hotel
